"","","",""
"","순서","단어","뜻"
"","1","a(n)","하나의, 한사람의"
"","2","about","~에 관하여"
"","3","across","가로질러"
"","4","act","행동하다"
"","5","address","주소"
"","6","afraid","두려워하여,걱정하여"
"","7","after","후에"
"","8","afternoon","오후"
"","9","age","나이"
"","10","ago","전에"
"","11","air","공기"
"","12","airport","공항"
"","13","album","앨범"
"","14","all","모두"
"","15","along","따라서"
"","16","always","항상"
"","17","among","~사이에"
"","18","and","그리고"
"","19","angry","화난"
"","20","animal","동물"
"","21","answer","대답하다"
"","22","any","무슨, 조금도"
"","23","apartment","아파트"
"","24","apple","사과"
"","25","arm","팔"
"","26","around","주변에, ~경에"
"","27","arrive","도착하다"
"","28","as","~와 같이"
"","29","ask","묻다"
"","30","at","~에"
"","31","aunt","아주머니, 이모"
"","32","autumn","가을"
"","33","away","저리로,떨어진"
"","34","baby","아기"
"","35","baby","아기"
"","36","back","등, 뒤"
"","37","bad","나쁜"
"","38","bag","가방"
"","39","ball","공"
"","40","balloon","풍선"
"","41","banana","바나나"
"","42","band","무리, 결합시키다"
"","43","bank","은행"
"","44","base","기초, 토대"
"","45","basket","바구니"
"","46","bath","목욕"
"","47","be","이다"
"","48","beach","해변"
"","49","bear","곰"
"","50","beautiful","아름다운"
"","51","because","왜냐하면"
"","52","become","~이 되다"
"","53","bed","침대"
"","54","before","전에, 앞에"
"","55","begin","시작하다"
"","56","behind","~뒤에"
"","57","bell","종"
"","58","below","아래에"
"","59","bench","긴의자, 벤치"
"","60","beside","옆에"
"","61","between","~사이에"
"","62","big","큰"
"","63","bike","자전거"
"","64","bird","새"
"","65","birthday","생일"
"","66","black","검은색(의)"
"","67","blow","불다"
"","68","blue","파란색(의)"
"","69","board","널빤지, 마분지"
"","70","boat","배"
"","71","body","몸"
"","72","book","책"
"","73","bottle","병"
"","74","bowl","그릇, 사발"
"","75","box","상자"
"","76","boy","소년"
"","77","bread","빵"
"","78","break","깨뜨리다"
"","79","breakfast","아침식사"
"","80","bridge","다리"
"","81","bright","밝은"
"","82","bright","밝은"
"","83","bring","가져오다"
"","84","brother","남자형제"
"","85","brown","갈색"
"","86","brush","솔질하다"
"","87","build","짓다"
"","88","burn","타다"
